Domain:5,Kingdom:13,Phylum:229,Class:463,Order:974,Family:1975,Genus:4980,Species:17585,Total_reads,Percent,Prevalence,Gene_Count
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Aenigmarchaeota,c__unclassified_p__Candidatus_Aenigmarchaeota,o__unclassified_p__Candidatus_Aenigmarchaeota,f__unclassified_p__Candidatus_Aenigmarchaeota,g__unclassified_p__Candidatus_Aenigmarchaeota,s__Candidatus_Aenigmarchaeota_archaeon,2056,0.00%,1,58
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Altiarchaeota,c__unclassified_p__Candidatus_Altiarchaeota,o__Candidatus_Altiarchaeales,f__unclassified_o__Candidatus_Altiarchaeales,g__unclassified_o__Candidatus_Altiarchaeales,s__Candidatus_Altiarchaeales_archaeon,64,2.96E-07,0.647058824,5
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Altiarchaeota,c__unclassified_p__Candidatus_Altiarchaeota,o__Candidatus_Altiarchaeales,f__unclassified_o__Candidatus_Altiarchaeales,g__unclassified_o__Candidatus_Altiarchaeales,s__Candidatus_Altiarchaeales_archaeon_A3,6,2.77E-08,0.117647059,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Altiarchaeota,c__unclassified_p__Candidatus_Altiarchaeota,o__Candidatus_Altiarchaeales,f__unclassified_o__Candidatus_Altiarchaeales,g__unclassified_o__Candidatus_Altiarchaeales,s__Candidatus_Altiarchaeales_archaeon_HGW-Altiarchaeales-1,14,6.47E-08,0.058823529,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Altiarchaeota,c__unclassified_p__Candidatus_Altiarchaeota,o__Candidatus_Altiarchaeales,f__unclassified_o__Candidatus_Altiarchaeales,g__unclassified_o__Candidatus_Altiarchaeales,s__Candidatus_Altiarchaeales_archaeon_WOR_SM1_79,24,1.11E-07,0.235294118,2
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Altiarchaeota,c__unclassified_p__Candidatus_Altiarchaeota,o__Candidatus_Altiarchaeales,f__unclassified_o__Candidatus_Altiarchaeales,g__unclassified_o__Candidatus_Altiarchaeales,s__Candidatus_Altiarchaeales_archaeon_WOR_SM1_SCG,30,1.39E-07,0.294117647,4
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Altiarchaeota,c__unclassified_p__Candidatus_Altiarchaeota,o__unclassified_p__Candidatus_Altiarchaeota,f__unclassified_p__Candidatus_Altiarchaeota,g__unclassified_p__Candidatus_Altiarchaeota,s__Candidatus_Altiarchaeota_archaeon,976,0.00%,1,6
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Bathyarchaeota,c__unclassified_p__Candidatus_Bathyarchaeota,o__unclassified_p__Candidatus_Bathyarchaeota,f__unclassified_p__Candidatus_Bathyarchaeota,g__unclassified_p__Candidatus_Bathyarchaeota,s__Candidatus_Bathyarchaeota_archaeon,1382,0.00%,1,43
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Bathyarchaeota,c__unclassified_p__Candidatus_Bathyarchaeota,o__unclassified_p__Candidatus_Bathyarchaeota,f__unclassified_p__Candidatus_Bathyarchaeota,g__unclassified_p__Candidatus_Bathyarchaeota,s__Candidatus_Bathyarchaeota_archaeon_A05DMB-2,70,3.23E-07,0.588235294,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Bathyarchaeota,c__unclassified_p__Candidatus_Bathyarchaeota,o__unclassified_p__Candidatus_Bathyarchaeota,f__unclassified_p__Candidatus_Bathyarchaeota,g__unclassified_p__Candidatus_Bathyarchaeota,s__Candidatus_Bathyarchaeota_archaeon_ex4484_231,14,6.47E-08,0.176470588,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Bathyarchaeota,c__unclassified_p__Candidatus_Bathyarchaeota,o__unclassified_p__Candidatus_Bathyarchaeota,f__unclassified_p__Candidatus_Bathyarchaeota,g__unclassified_p__Candidatus_Bathyarchaeota,s__miscellaneous_Crenarchaeota_group_archaeon_SMTZ-80,14,6.47E-08,0.176470588,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Brockarchaeota,c__unclassified_p__Candidatus_Brockarchaeota,o__unclassified_p__Candidatus_Brockarchaeota,f__unclassified_p__Candidatus_Brockarchaeota,g__unclassified_p__Candidatus_Brockarchaeota,s__Candidatus_Brockarchaeota_archaeon,54,2.49E-07,0.588235294,2
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Culexarchaeota,c__Candidatus_Culexarchaeia,o__Candidatus_Culexarchaeles,f__Candidatus_Culexarchaeaceae,g__Candidatus_Culexarchaeum,s__Candidatus_Culexarchaeum_yellowstonense,18,8.31E-08,0.294117647,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Diapherotrites,c__unclassified_p__Candidatus_Diapherotrites,o__unclassified_p__Candidatus_Diapherotrites,f__unclassified_p__Candidatus_Diapherotrites,g__unclassified_p__Candidatus_Diapherotrites,s__Candidatus_Diapherotrites_archaeon,190,8.78E-07,0.882352941,7
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Diapherotrites,c__unclassified_p__Candidatus_Diapherotrites,o__unclassified_p__Candidatus_Diapherotrites,f__unclassified_p__Candidatus_Diapherotrites,g__unclassified_p__Candidatus_Diapherotrites,s__Candidatus_Diapherotrites_archaeon_ADurb.Bin253,64,2.96E-07,0.235294118,2
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Heimdallarchaeota,c__unclassified_p__Candidatus_Heimdallarchaeota,o__unclassified_p__Candidatus_Heimdallarchaeota,f__unclassified_p__Candidatus_Heimdallarchaeota,g__unclassified_p__Candidatus_Heimdallarchaeota,s__Candidatus_Heimdallarchaeota_archaeon,344,0.00%,0.941176471,18
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Heimdallarchaeota,c__unclassified_p__Candidatus_Heimdallarchaeota,o__unclassified_p__Candidatus_Heimdallarchaeota,f__unclassified_p__Candidatus_Heimdallarchaeota,g__unclassified_p__Candidatus_Heimdallarchaeota,s__Candidatus_Heimdallarchaeota_archaeon_AB_125,6,2.77E-08,0.058823529,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Heimdallarchaeota,c__unclassified_p__Candidatus_Heimdallarchaeota,o__unclassified_p__Candidatus_Heimdallarchaeota,f__unclassified_p__Candidatus_Heimdallarchaeota,g__unclassified_p__Candidatus_Heimdallarchaeota,s__Candidatus_Heimdallarchaeota_archaeon_LC_2,34,1.57E-07,0.352941176,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Heimdallarchaeota,c__unclassified_p__Candidatus_Heimdallarchaeota,o__unclassified_p__Candidatus_Heimdallarchaeota,f__unclassified_p__Candidatus_Heimdallarchaeota,g__unclassified_p__Candidatus_Heimdallarchaeota,s__Candidatus_Heimdallarchaeota_archaeon_LC_3,4,1.85E-08,0.058823529,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Helarchaeota,c__unclassified_p__Candidatus_Helarchaeota,o__unclassified_p__Candidatus_Helarchaeota,f__unclassified_p__Candidatus_Helarchaeota,g__unclassified_p__Candidatus_Helarchaeota,s__Candidatus_Helarchaeota_archaeon,2,9.24E-09,0.058823529,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Hydrothermarchaeota,c__unclassified_p__Candidatus_Hydrothermarchaeota,o__unclassified_p__Candidatus_Hydrothermarchaeota,f__unclassified_p__Candidatus_Hydrothermarchaeota,g__unclassified_p__Candidatus_Hydrothermarchaeota,s__Candidatus_Hydrothermarchaeota_archaeon,2,9.24E-09,0.058823529,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Korarchaeota,c__unclassified_p__Candidatus_Korarchaeota,o__unclassified_p__Candidatus_Korarchaeota,f__unclassified_p__Candidatus_Korarchaeota,g__Candidatus_Korarchaeum,s__Candidatus_Korarchaeum_cryptofilum,10,4.62E-08,0.058823529,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Korarchaeota,c__unclassified_p__Candidatus_Korarchaeota,o__unclassified_p__Candidatus_Korarchaeota,f__unclassified_p__Candidatus_Korarchaeota,g__unclassified_p__Candidatus_Korarchaeota,s__Candidatus_Korarchaeota_archaeon,12,5.54E-08,0.176470588,2
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Lokiarchaeota,c__unclassified_p__Candidatus_Lokiarchaeota,o__unclassified_p__Candidatus_Lokiarchaeota,f__unclassified_p__Candidatus_Lokiarchaeota,g__Candidatus_Lokiarchaeum,s__Candidatus_Lokiarchaeum_sp._GC14_75,22,1.02E-07,0.352941176,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Lokiarchaeota,c__unclassified_p__Candidatus_Lokiarchaeota,o__unclassified_p__Candidatus_Lokiarchaeota,f__unclassified_p__Candidatus_Lokiarchaeota,g__unclassified_p__Candidatus_Lokiarchaeota,s__Candidatus_Lokiarchaeota_archaeon,812,0.00%,1,41
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Lokiarchaeota,c__unclassified_p__Candidatus_Lokiarchaeota,o__unclassified_p__Candidatus_Lokiarchaeota,f__unclassified_p__Candidatus_Lokiarchaeota,g__unclassified_p__Candidatus_Lokiarchaeota,s__Candidatus_Lokiarchaeota_archaeon_Loki_b31,34,1.57E-07,0.294117647,2
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Marsarchaeota,c__unclassified_p__Candidatus_Marsarchaeota,o__unclassified_p__Candidatus_Marsarchaeota,f__unclassified_p__Candidatus_Marsarchaeota,g__unclassified_p__Candidatus_Marsarchaeota,s__Candidatus_Marsarchaeota_archaeon,80,3.70E-07,0.529411765,5
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Micrarchaeota,c__Candidatus_Micrarchaeia,o__Candidatus_Gugararchaeales,f__Candidatus_Gugararchaeaceae,g__Candidatus_Gugararchaeum,s__Candidatus_Gugararchaeum_adminiculabundum,12,5.54E-08,0.058823529,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Micrarchaeota,c__unclassified_p__Candidatus_Micrarchaeota,o__Candidatus_Fermentimicrarchaeales,f__Candidatus_Fermentimicrarchaeaceae,g__Candidatus_Fermentimicrarchaeum,s__Candidatus_Fermentimicrarchaeum_limneticum,72,3.33E-07,0.058823529,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Micrarchaeota,c__unclassified_p__Candidatus_Micrarchaeota,o__unclassified_p__Candidatus_Micrarchaeota,f__unclassified_p__Candidatus_Micrarchaeota,g__unclassified_p__Candidatus_Micrarchaeota,s__Candidatus_Micrarchaeota_archaeon,944,0.00%,1,29
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Micrarchaeota,c__unclassified_p__Candidatus_Micrarchaeota,o__unclassified_p__Candidatus_Micrarchaeota,f__unclassified_p__Candidatus_Micrarchaeota,g__unclassified_p__Candidatus_Micrarchaeota,s__Candidatus_Micrarchaeota_archaeon_CG11_big_fil_rev_8_21_14_0_20_47_5,44,2.03E-07,0.235294118,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Nanohaloarchaeota,c__unclassified_p__Candidatus_Nanohaloarchaeota,o__unclassified_p__Candidatus_Nanohaloarchaeota,f__unclassified_p__Candidatus_Nanohaloarchaeota,g__unclassified_p__Candidatus_Nanohaloarchaeota,s__Candidatus_Nanohaloarchaeota_archaeon,24,1.11E-07,0.352941176,3
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Odinarchaeota,c__unclassified_p__Candidatus_Odinarchaeota,o__unclassified_p__Candidatus_Odinarchaeota,f__unclassified_p__Candidatus_Odinarchaeota,g__unclassified_p__Candidatus_Odinarchaeota,s__Candidatus_Odinarchaeota_archaeon,38,1.76E-07,0.352941176,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Parvarchaeota,c__unclassified_p__Candidatus_Parvarchaeota,o__unclassified_p__Candidatus_Parvarchaeota,f__unclassified_p__Candidatus_Parvarchaeota,g__unclassified_p__Candidatus_Parvarchaeota,s__Candidatus_Parvarchaeota_archaeon,24,1.11E-07,0.411764706,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thermoplasmatota,c__Candidatus_Poseidoniia,o__Candidatus_Poseidoniales,f__unclassified_o__Candidatus_Poseidoniales,g__unclassified_o__Candidatus_Poseidoniales,s__Candidatus_Poseidoniales_archaeon,8,3.70E-08,0.117647059,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thermoplasmatota,c__Candidatus_Poseidoniia,o__unclassified_c__Candidatus_Poseidoniia,f__unclassified_c__Candidatus_Poseidoniia,g__unclassified_c__Candidatus_Poseidoniia,s__Candidatus_Poseidoniia_archaeon,8,3.70E-08,0.117647059,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Candidatus_Methanomethylophilaceae,g__Candidatus_Methanomethylophilus,s__Candidatus_Methanomethylophilus_alvus,52,2.40E-07,0.411764706,5
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Candidatus_Methanomethylophilaceae,g__Candidatus_Methanomethylophilus,s__Candidatus_Methanomethylophilus_sp.,10184,0.00%,1,407
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Candidatus_Methanomethylophilaceae,g__Candidatus_Methanomethylophilus,s__Candidatus_Methanomethylophilus_sp._1R26,44,2.03E-07,0.352941176,5
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Candidatus_Methanomethylophilaceae,g__unclassified_f__Candidatus_Methanomethylophilaceae,s__Candidatus_Methanomethylophilaceae_archaeon,53406,0.02%,1,2066
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomassiliicoccaceae,g__Candidatus_Methanogranum,s__Candidatus_Methanogranum_sp._U3.2.1,8,3.70E-08,0.117647059,2
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomassiliicoccaceae,g__Candidatus_Methanoplasma,s__Candidatus_Methanoplasma_termitum,38,1.76E-07,0.529411765,3
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomassiliicoccaceae,g__Methanomassiliicoccus,s__Candidatus_Methanomassiliicoccus_intestinalis,188,8.68E-07,1,8
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomassiliicoccaceae,g__Methanomassiliicoccus,s__Methanomassiliicoccus_luminyensis,8,3.70E-08,0.117647059,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomassiliicoccaceae,g__Methanomassiliicoccus,s__Methanomassiliicoccus_sp.,16,7.39E-08,0.176470588,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomassiliicoccaceae,g__unclassified_f__Methanomassiliicoccaceae,s__Methanomassiliicoccaceae_archaeon,122,5.64E-07,0.941176471,9
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomassiliicoccaceae,g__unclassified_f__Methanomassiliicoccaceae,s__Methanomassiliicoccaceae_archaeon_DOK,46,2.12E-07,0.529411765,3
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__unclassified_o__Methanomassiliicoccales,g__Candidatus_Methanarcanum,s__Candidatus_Methanarcanum_hacksteinii,186,8.59E-07,0.764705882,9
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__unclassified_o__Methanomassiliicoccales,g__unclassified_o__Methanomassiliicoccales,s__Methanomassiliicoccales_archaeon,292,0.00%,0.823529412,18
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__unclassified_o__Methanomassiliicoccales,g__unclassified_o__Methanomassiliicoccales,s__Methanomassiliicoccales_archaeon_PtaB.Bin215,134,6.19E-07,0.882352941,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__unclassified_o__Methanomassiliicoccales,g__unclassified_o__Methanomassiliicoccales,s__Methanomassiliicoccales_archaeon_PtaU1.Bin124,4,1.85E-08,0.117647059,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__unclassified_o__Methanomassiliicoccales,g__unclassified_o__Methanomassiliicoccales,s__Methanomassiliicoccales_archaeon_RumEn_M2,50,2.31E-07,0.294117647,3
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Ferroplasmaceae,g__Acidiplasma,s__unclassified_g__Acidiplasma,16,7.39E-08,0.235294118,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Ferroplasmaceae,g__Ferroplasma,s__Ferroplasma_sp._Type_II,42,1.94E-07,0.352941176,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmataceae,g__Thermoplasma,s__Thermoplasma_acidophilum,2,9.24E-09,0.058823529,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__unclassified_o__Thermoplasmatales,g__unclassified_o__Thermoplasmatales,s__Thermoplasmatales_archaeon,376,0.00%,1,19
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__unclassified_o__Thermoplasmatales,g__unclassified_o__Thermoplasmatales,s__Thermoplasmatales_archaeon_49_6,2,9.24E-09,0.058823529,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__unclassified_o__Thermoplasmatales,g__unclassified_o__Thermoplasmatales,s__Thermoplasmatales_archaeon_BRNA1,94,4.34E-07,0.705882353,6
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__unclassified_o__Thermoplasmatales,g__unclassified_o__Thermoplasmatales,s__Thermoplasmatales_archaeon_SG8-52-4,62,2.86E-07,0.294117647,2
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__unclassified_c__Thermoplasmata,f__unclassified_c__Thermoplasmata,g__unclassified_c__Thermoplasmata,s__Thermoplasmata_archaeon,1724,0.00%,1,77
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__unclassified_c__Thermoplasmata,f__unclassified_c__Thermoplasmata,g__unclassified_c__Thermoplasmata,s__Thermoplasmata_archaeon_HGW-Thermoplasmata-1,48,2.22E-07,0.352941176,4
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__unclassified_c__Thermoplasmata,f__unclassified_c__Thermoplasmata,g__unclassified_c__Thermoplasmata,s__Thermoplasmata_archaeon_M11B2D,10,4.62E-08,0.176470588,2
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__unclassified_c__Thermoplasmata,f__unclassified_c__Thermoplasmata,g__unclassified_c__Thermoplasmata,s__Thermoplasmata_archaeon_M8B2D,16,7.39E-08,0.294117647,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__unclassified_c__Thermoplasmata,f__unclassified_c__Thermoplasmata,g__unclassified_c__Thermoplasmata,s__Thermoplasmata_archaeon_M9B1D,296,0.00%,0.588235294,8
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__unclassified_c__Thermoplasmata,f__unclassified_c__Thermoplasmata,g__unclassified_c__Thermoplasmata,s__methanogenic_archaeon_ISO4-H5,130,6.00E-07,0.705882353,5
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thermoplasmatota,c__unclassified_p__Candidatus_Thermoplasmatota,o__unclassified_p__Candidatus_Thermoplasmatota,f__unclassified_p__Candidatus_Thermoplasmatota,g__Aciduliprofundum,s__Aciduliprofundum_boonei,2,9.24E-09,0.058823529,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thermoplasmatota,c__unclassified_p__Candidatus_Thermoplasmatota,o__unclassified_p__Candidatus_Thermoplasmatota,f__unclassified_p__Candidatus_Thermoplasmatota,g__unclassified_p__Candidatus_Thermoplasmatota,s__Candidatus_Thermoplasmatota_archaeon,342,0.00%,1,11
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thorarchaeota,c__unclassified_p__Candidatus_Thorarchaeota,o__unclassified_p__Candidatus_Thorarchaeota,f__unclassified_p__Candidatus_Thorarchaeota,g__unclassified_p__Candidatus_Thorarchaeota,s__Candidatus_Thorarchaeota_archaeon,132,6.10E-07,0.882352941,11
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Thorarchaeota,c__unclassified_p__Candidatus_Thorarchaeota,o__unclassified_p__Candidatus_Thorarchaeota,f__unclassified_p__Candidatus_Thorarchaeota,g__unclassified_p__Candidatus_Thorarchaeota,s__Candidatus_Thorarchaeota_archaeon_SMTZ1-45,4,1.85E-08,0.117647059,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Verstraetearchaeota,c__Candidatus_Methanomethylicia,o__unclassified_c__Candidatus_Methanomethylicia,f__unclassified_c__Candidatus_Methanomethylicia,g__unclassified_c__Candidatus_Methanomethylicia,s__Candidatus_Methanomethylicia_archaeon,18,8.31E-08,0.235294118,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Verstraetearchaeota,c__unclassified_p__Candidatus_Verstraetearchaeota,o__unclassified_p__Candidatus_Verstraetearchaeota,f__unclassified_p__Candidatus_Verstraetearchaeota,g__unclassified_p__Candidatus_Verstraetearchaeota,s__Candidatus_Verstraetearchaeota_archaeon,44,2.03E-07,0.235294118,2
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Woesearchaeota,c__unclassified_p__Candidatus_Woesearchaeota,o__unclassified_p__Candidatus_Woesearchaeota,f__unclassified_p__Candidatus_Woesearchaeota,g__unclassified_p__Candidatus_Woesearchaeota,s__Candidatus_Woesearchaeota_archaeon,7730,0.00%,1,213
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Woesearchaeota,c__unclassified_p__Candidatus_Woesearchaeota,o__unclassified_p__Candidatus_Woesearchaeota,f__unclassified_p__Candidatus_Woesearchaeota,g__unclassified_p__Candidatus_Woesearchaeota,s__Candidatus_Woesearchaeota_archaeon_CG07_land_8_20_14_0_80_44_23,300,0.00%,0.588235294,4
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Woesearchaeota,c__unclassified_p__Candidatus_Woesearchaeota,o__unclassified_p__Candidatus_Woesearchaeota,f__unclassified_p__Candidatus_Woesearchaeota,g__unclassified_p__Candidatus_Woesearchaeota,s__Candidatus_Woesearchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_33_12,22,1.02E-07,0.058823529,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Woesearchaeota,c__unclassified_p__Candidatus_Woesearchaeota,o__unclassified_p__Candidatus_Woesearchaeota,f__unclassified_p__Candidatus_Woesearchaeota,g__unclassified_p__Candidatus_Woesearchaeota,s__Candidatus_Woesearchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_34_8,264,0.00%,0.882352941,1
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Woesearchaeota,c__unclassified_p__Candidatus_Woesearchaeota,o__unclassified_p__Candidatus_Woesearchaeota,f__unclassified_p__Candidatus_Woesearchaeota,g__unclassified_p__Candidatus_Woesearchaeota,s__Candidatus_Woesearchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_44_13,26,1.20E-07,0.235294118,3
d__Archaea,k__unclassified_d__Archaea,p__Candidatus_Woesearchaeota,c__unclassified_p__Candidatus_Woesearchaeota,o__unclassified_p__Candidatus_Woesearchaeota,f__unclassified_p__Candidatus_Woesearchaeota,g__unclassified_p__Candidatus_Woesearchaeota,s__Candidatus_Woesearchaeota_archaeon_CG_4_10_14_0_2_um_filter_33_13,30,1.39E-07,0.294117647,2
d__Archaea,k__unclassified_d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Desulfurococcales,f__Desulfurococcaceae,g__Ignisphaera,s__Ignisphaera_sp.,4,1.85E-08,0.058823529,1
d__Archaea,k__unclassified_d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Desulfurococcales,f__Desulfurococcaceae,g__unclassified_f__Desulfurococcaceae,s__Desulfurococcaceae_archaeon,2,9.24E-09,0.058823529,1
d__Archaea,k__unclassified_d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Desulfurococcales,f__unclassified_o__Desulfurococcales,g__unclassified_o__Desulfurococcales,s__Desulfurococcales_archaeon,6,2.77E-08,0.058823529,1
d__Archaea,k__unclassified_d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Sulfolobales,f__Sulfolobaceae,g__Acidianus,s__Acidianus_ambivalens,30,1.39E-07,0.352941176,1
d__Archaea,k__unclassified_d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Sulfolobales,f__Sulfolobaceae,g__Metallosphaera,s__Metallosphaera_sedula,2,9.24E-09,0.058823529,1
d__Archaea,k__unclassified_d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Sulfolobales,f__unclassified_o__Sulfolobales,g__unclassified_o__Sulfolobales,s__Sulfolobales_archaeon,6,2.77E-08,0.058823529,1
d__Archaea,k__unclassified_d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Thermofilales,f__Thermofilaceae,g__Thermofilum,s__Thermofilum_sp._ex4484_79,4,1.85E-08,0.058823529,1
d__Archaea,k__unclassified_d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__unclassified_c__Thermoprotei,f__unclassified_c__Thermoprotei,g__unclassified_c__Thermoprotei,s__Thermoprotei_archaeon,228,0.00%,0.941176471,7
d__Archaea,k__unclassified_d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__unclassified_c__Thermoprotei,f__unclassified_c__Thermoprotei,g__unclassified_c__Thermoprotei,s__Thermoprotei_archaeon_ex4572_64,16,7.39E-08,0.294117647,1
d__Archaea,k__unclassified_d__Archaea,p__Crenarchaeota,c__unclassified_p__Crenarchaeota,o__unclassified_p__Crenarchaeota,f__unclassified_p__Crenarchaeota,g__unclassified_p__Crenarchaeota,s__Crenarchaeota_archaeon,3628,0.00%,1,163
d__Archaea,k__unclassified_d__Archaea,p__Euryarchaeota,c__Archaeoglobi,o__Archaeoglobales,f__Archaeoglobaceae,g__Archaeoglobus,s__Archaeoglobus_sp.,6,2.77E-08,0.058823529,1
d__Archaea,k__unclassified_d__Archaea,p__Euryarchaeota,c__Archaeoglobi,o__Archaeoglobales,f__Archaeoglobaceae,g__Archaeoglobus,s__Archaeoglobus_sulfaticallidus,106,4.90E-07,0.352941176,2
