Compound_ID,Name,Formula,Molecular Weight,RT [min],m/z,mzCloud_Results,mzVault_Results,MassList_Results,Class_I,Class_II,Class_III,Class_IV,neg_XY_5,neg_XY_4,neg_XY_6,neg_XY_3,neg_XY_1,neg_XY_7,neg_XY_2
Com_69_neg,N-Acetyl-Dl-glutamic acid,C7 H11 N O5,189.06359,1.578,188.05638,No results,No results,Full match,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Glutamic acid and derivatives,107453568.6,67733895.94,142686238.7,117176576.7,55897047.01,74828875.11,106723674.9
Com_70_neg,Nonadecanoic acid,C19 H38 O2,298.28733,11.724,297.28012,No results,No results,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,12985758.83,10127505.1,13145768.43,17050452.17,6657932.503,17403650.78,12217936.48
Com_71_neg,Adrenosterone,C19 H24 O3,300.17254,6.033,299.16537,No results,No results,Full match,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,Androgens and derivatives,10809941.82,8934831.747,1120880.735,10310887.39,1364929.419,1268717.753,11213577.39
Com_72_neg,Sodium Dehydrocholate,C24 H33 Na O5,424.2208,9.017,423.21347,No results,No results,Full match,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives","Bile acids, alcohols and derivatives",1120685.49,949391.4563,2158421.199,2597008.865,1155778.719,1569213.168,967384.5266
Com_73_neg,Citric acid,C6 H8 O7,146.02165,1.585,145.01425,No results,Invalid mass,No match,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,Tricarboxylic acids and derivatives,3935002.768,15072612.51,36303596.34,19045596.16,32747635.95,20698644.19,11875477.76
Com_74_neg,Dithranol,C14 H10 O3,226.06313,5.922,225.05583,No results,No results,Full match,Benzenoids,Anthracenes,Not available,Anthracenes,35439053.71,27333854.22,21693295.16,35523901.2,18935137.6,42758674.09,33425485.22
Com_75_neg,Spiculisporic Acid,C17 H28 O6,328.18879,6.019,327.18134,No results,No results,Full match,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,Tricarboxylic acids and derivatives,25772593.87,20698160.02,30189459.27,27728884.89,32588574.67,15934771.9,22203419.4
Com_76_neg,lithocholic acid,C24 H40 O3,376.2977,10.134,375.29031,No results,No results,Full match,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives","Monohydroxy bile acids, alcohols and derivatives",3448599.976,2948668.341,7327816.493,6360402.798,3102114.032,3980959.528,5378800.687
Com_77_neg,2-Hydroxy-3-methylbutanoic acid,C5 H10 O3,118.06326,5.209,117.05598,No results,No results,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Hydroxy fatty acids,602425.2825,719315.1365,801425.7452,731777.9893,682669.737,658361.0163,718699.8015
Com_78_neg,"2,3-dinor Prostaglandin E1",C18 H30 O5,308.19899,7.422,307.19171,Invalid mass,No results,No results,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,Prostaglandins and related compounds,234385863.8,225586514.8,493194330,315573200.3,388042786.5,432227641.2,203170180.1
Com_79_neg,Mag (18:1),C21 H40 O4,356.29275,9.847,355.28528,No results,No results,Full match,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,Lineolic acids and derivatives,9982615.28,9404745.583,8660272.876,15774069.09,7871094.872,15840082.33,10582052.87
Com_80_neg,Delta-Tridecalactone,C13 H24 O2,212.17774,6.703,211.17053,No results,No results,Full match,Organoheterocyclic compounds,Lactones,Delta valerolactones,Delta valerolactones,5087720683,19236189.9,1278013772,4600322125,3103984445,3714979373,4546949263
Com_81_neg,FAHFA (15:0/17:2),C32 H58 O4,506.4315,9.971,505.42422,No results,Full match,No results,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty acids,1596818.746,1126844.655,17041367.04,6644387.411,355584.9127,2024180.139,3059456.832
Com_82_neg,Homogentisic Acid,C8 H8 O4,168.04239,5.444,167.03511,No results,No results,Full match,Benzenoids,Benzene and substituted derivatives,Phenylacetic acids,2(hydroxyphenyl)acetic acids,43278353.92,25156229.07,18408571.54,18876387.49,28892562.59,23253464.96,13370125.45
Com_83_neg,Calcium D-Panthotenate,C18 H32 Ca N2 O10,476.16807,5.324,475.1608,No results,No results,Full match,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Beta amino acids and derivatives,56285761.21,69254946.4,28240502.1,59963795.55,55118620.18,56779529.43,80137054.93
Com_84_neg,N-lactoyl-phenylalanine,C12 H15 N O4,237.09971,5.316,236.09244,No results,No results,Full match,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Phenylalanine and derivatives,4922536.029,5095747.602,7339303.143,5377719.776,6931913.485,5708423.43,6239140.8
Com_85_neg,Octanedioic acid,C8 H14 O4,174.08948,4.946,173.0822,No results,No results,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,531650470.6,527500080.6,413681801.8,538502827.7,35876540.97,554249310.4,468609755.6
Com_86_neg,Vitamin B2,C17 H20 N4 O6,376.13923,9.519,375.13196,No results,No results,Full match,Organoheterocyclic compounds,Pteridines and derivatives,Alloxazines and isoalloxazines,Flavins,520729.2493,548956.2182,538651.1542,962259.5613,453685.4229,460626.3597,612895.3148
Com_87_neg,"All-cis-4,7,10,13,16-docosapentaenoic acid",C22 H34 O2,330.25609,10.147,329.24881,No results,No results,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Very long-chain fatty acids,702035.9754,1203223.37,15937986.73,817856.5781,11182133.25,7402681.16,701296.6582
Com_88_neg,LPG 15:0,C21 H43 O9 P,470.26509,11.862,469.25781,No results,Full match,No results,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,Phosphatidylglycerols,10071051.43,3927192.234,8280737.482,17427380.78,11310423.26,10788326.46,2990625.833
Com_89_neg,3-[4-methyl-1-(2-methylpropanoyl)-3-oxocyclohexyl]butanoic acid,C15 H24 O4,268.16733,5.93,267.16003,Full match,No results,No results,,,,,336457577.1,382178320,1070038876,343043125.2,1573935517,650932950.2,353909777.8
Com_90_neg,LPE 15:0,C20 H42 N O7 P,439.27035,8.775,438.26343,No results,Full match,No results,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1-acyl-sn-glycero-3-phosphoethanolamines,4451063.876,1919798.734,677737.2477,3179109.886,660169.1877,1906451.118,3612172.273
Com_91_neg,Homovanillic acid,C9 H10 O4,182.05807,5.149,181.05081,Full match,No results,Full match,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols,5696966.835,5227222.615,3120570.913,4456751.51,4490293.078,6147480.95,4775688.147
Com_92_neg,Lysope 16:0,C21 H44 N O7 P,453.28614,9.344,452.27881,No results,No results,Full match,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1-(1Z-alkenyl)-glycero-3-phosphoethanolamines,3398308.243,3023092.973,2496999.153,2912918.454,3052454.132,2224206.132,2873659.641
Com_93_neg,Corticosterone,C21 H30 O4,382.18624,10.407,381.17886,Invalid mass,No results,No results,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,21-hydroxysteroids,3410212.8,2331056.428,1765604.245,3337600.952,1827333.706,1682729.814,3381343.787
Com_94_neg,Estrone,C18 H22 O2,306.14482,6.126,305.1376,Invalid mass,No results,No results,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,Estrogens and derivatives,503021.3188,853343.776,11542844.29,1120299.414,434295.339,772979.8833,1013319.394
