Compound_ID,Name,Formula,Molecular Weight,RT [min],m/z,mzCloud_Results,mzVault_Results,MassList_Results,Class_I,Class_II,Class_III,Class_IV,neg_HZ_1,neg_HZ_2,neg_HZ_3,neg_HZ_4,neg_HZ_5,neg_HZ_6,neg_HZ_7,neg_HZ_8,neg_HZ_9,neg_HZ_10,,,,,,,
Com_78_neg,"2,3-dinor Prostaglandin E1",C18 H30 O5,308.19899,7.422,307.19171,Invalid mass,No results,No results,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,Prostaglandins and related compounds,530995.8074,1434881.762,2044994.37,1580952.984,1250488.468,1174892.584,613576.4765,613328.3083,969914.8706,1023082.373,,,,,,,
Com_79_neg,Mag (18:1),C21 H40 O4,356.29275,9.847,355.28528,No results,No results,Full match,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,Lineolic acids and derivatives,442219.3061,1579935.208,1964358.504,1695196.858,510090.4512,612696.707,398389.0677,633046.7594,1289077.457,247365.8145,,,,,,,
Com_80_neg,Delta-Tridecalactone,C13 H24 O2,212.17774,6.703,211.17053,No results,No results,Full match,Organoheterocyclic compounds,Lactones,Delta valerolactones,Delta valerolactones,1980866.256,218449.7478,470374.5202,238170.7058,388441.7316,375602.9808,1109622.279,1945971.37,244051.7024,1838342.219,,,,,,,
Com_81_neg,FAHFA (15:0/17:2),C32 H58 O4,506.4315,9.971,505.42422,No results,Full match,No results,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty acids,73610.37429,460161.3588,1911975.677,98135.84712,103677.6836,321281.0483,232280.0894,219592.1062,500305.7163,84951.72036,,,,,,,
Com_82_neg,Homogentisic Acid,C8 H8 O4,168.04239,5.444,167.03511,No results,No results,Full match,Benzenoids,Benzene and substituted derivatives,Phenylacetic acids,2(hydroxyphenyl)acetic acids,796799.7861,519740.8758,826029.6609,587100.0573,726001.4383,675459.6525,1112190.21,730023.6065,600896.1051,1562213.631,,,,,,,
Com_83_neg,Calcium D-Panthotenate,C18 H32 Ca N2 O10,476.16807,5.324,475.1608,No results,No results,Full match,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Beta amino acids and derivatives,271555.3943,962162.3849,1081917.573,1415594.697,703536.5073,953122.8293,264192.3217,276330.2742,465399.7125,219822.223,,,,,,,
Com_84_neg,N-lactoyl-phenylalanine,C12 H15 N O4,237.09971,5.316,236.09244,No results,No results,Full match,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Phenylalanine and derivatives,718925.9493,444030.1824,1037516.168,418893.5458,285478.938,415153.6937,323166.0194,527731.5521,264902.4448,497765.4661,,,,,,,
Com_85_neg,Octanedioic acid,C8 H14 O4,174.08948,4.946,173.0822,No results,No results,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,1042586.867,493074.9573,512179.4962,525279.6305,538467.4611,632527.0622,453291.9637,986688.0426,596214.1634,1023921.468,,,,,,,
Com_86_neg,Vitamin B2,C17 H20 N4 O6,376.13923,9.519,375.13196,No results,No results,Full match,Organoheterocyclic compounds,Pteridines and derivatives,Alloxazines and isoalloxazines,Flavins,338083.7877,675156.1325,806215.4184,487563.3642,328623.1677,520681.6328,307056.9778,390279.7482,719213.8109,430641.2759,,,,,,,
Com_87_neg,"All-cis-4,7,10,13,16-docosapentaenoic acid",C22 H34 O2,330.25609,10.147,329.24881,No results,No results,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Very long-chain fatty acids,103601.3334,999715.4708,245479.4875,318713.5261,149789.8616,149032.5406,138070.3353,88757.2885,591111.2644,118073.2717,,,,,,,
Com_88_neg,LPG 15:0,C21 H43 O9 P,470.26509,11.862,469.25781,No results,Full match,No results,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,Phosphatidylglycerols,422692.8507,901827.9049,681960.405,400679.8396,406578.0754,737854.9545,289784.9346,483136.3961,634440.1932,91470.17062,,,,,,,
Com_89_neg,3-[4-methyl-1-(2-methylpropanoyl)-3-oxocyclohexyl]butanoic acid,C15 H24 O4,268.16733,5.93,267.16003,Full match,No results,No results,,,,,12577362.82,21782183.41,18888772.14,22200103.44,14155987.87,15771920.09,15006020.85,9772980.297,19962309.91,18192513.23,,,,,,,
Com_90_neg,LPE 15:0,C20 H42 N O7 P,439.27035,8.775,438.26343,No results,Full match,No results,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1-acyl-sn-glycero-3-phosphoethanolamines,18971359.67,75941728.12,31021554.07,22897043.23,30491478.9,57475452.86,31877821.28,30931298.27,52483246.45,10152116.33,,,,,,,
Com_91_neg,Homovanillic acid,C9 H10 O4,182.05807,5.149,181.05081,Full match,No results,Full match,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols,2445706.724,3176460.144,2375211.207,2706984.999,2609673.339,3270615.223,3104668.077,2015500.864,2242660.755,2493949.917,,,,,,,
Com_92_neg,Lysope 16:0,C21 H44 N O7 P,453.28614,9.344,452.27881,No results,No results,Full match,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1-(1Z-alkenyl)-glycero-3-phosphoethanolamines,21589501.61,31799871.23,32229646.02,17863117.53,18687930.02,27065621.15,16406392.36,24747235.81,29950753.29,9855705.906,,,,,,,
Com_93_neg,Corticosterone,C21 H30 O4,382.18624,10.407,381.17886,Invalid mass,No results,No results,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,21-hydroxysteroids,1643681.963,3481013.19,3716435.621,1686984.62,1678035.378,2504848.102,2015030.653,2424668.488,4459655.267,1371541.168,,,,,,,
Com_94_neg,Estrone,C18 H22 O2,306.14482,6.126,305.1376,Invalid mass,No results,No results,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,Estrogens and derivatives,1170645.496,169135.605,669044.7121,238694.238,462780.4206,372060.8744,748715.3887,1465900.306,155552.4371,1381145.505,,,,,,,
