Compound_ID,Name,Formula,Molecular Weight,RT [min],m/z,mzCloud_Results,mzVault_Results,MassList_Results,Class_I,Class_II,Class_III,Class_IV,neg_HZ_1,neg_HZ_2,neg_HZ_3,neg_HZ_4,neg_HZ_5,neg_HZ_6,neg_HZ_7,neg_HZ_8,neg_HZ_9,neg_HZ_10,,,,,,,
Com_18_neg,17¦Á-Hydroxypregnenolone,C21 H32 O3,332.23526,8.708,331.228,Full match,Full match,Full match,Lipids and lipid-like molecules,Steroids and steroid derivatives,Pregnane steroids,"Gluco/mineralocorticoids, progestogins and derivatives",212358.3193,753322.5801,1950065.927,350997.557,352782.5757,479302.8377,329355.8626,278755.6393,591105.5329,162906.7263,,,,,,,
Com_19_neg,Xanthosine,C10 H12 N4 O6,284.07588,4.771,283.0686,Full match,Full match,Full match,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Not available,Purine nucleosides,232885.3658,300776.7902,1121571.511,321115.1571,199195.8444,166850.4996,157340.7219,162634.3687,668615.077,333897.4273,,,,,,,
Com_20_neg,Glycocholic acid,C26 H43 N O6,465.30906,6.775,464.30157,Full match,Full match,Full match,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",Glycinated bile acids and derivatives,13714874.78,759954502.7,3368378.721,13157349.66,2192538341,3203865.608,1920139.236,34337838.78,91337429.88,13313639.55,,,,,,,
Com_21_neg,Tetradecanedioic acid,C14 H26 O4,258.1831,6.896,257.17575,Full match,Full match,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,957733900.3,189732508.4,640665241.5,184882746.5,422134029.9,308817646.3,285737917.2,1109959232,157729595.1,1051500215,,,,,,,
Com_22_neg,3-Methyladipic acid,C7 H12 O4,160.0736,5.459,159.06635,Full match,Full match,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,12820617.62,11521280.8,12050463.61,10439543.42,9946173.86,10134202.17,5546461.433,11529064.53,12831668.47,13191757.02,,,,,,,
Com_23_neg,D-(-)-Quinic acid,C7 H12 O6,192.0634,1.565,191.05605,Full match,Full match,Full match,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Quinic acids and derivatives,1352146862,7075467.525,72426450.38,2194414.19,8017510.385,31830209.92,2840297390,1627951170,4350462.941,1449817598,,,,,,,
Com_24_neg,Pimelic acid,C7 H12 O4,160.07365,2.463,159.06635,Full match,No results,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,562796641.1,9028862.665,348647604.4,10306015.55,71086766.89,123275949.5,55331019.52,712705841,8509406.921,673982192.9,,,,,,,
Com_25_neg,Arachidic acid,C20 H40 O2,312.30277,11.478,311.29535,Full match,No results,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,183654360.7,409301920.6,675820019.6,242946065.8,220836912.3,276615402.9,203765505.8,275165846.5,143091589.7,49061139.41,,,,,,,
Com_26_neg,Palmitic acid,C16 H32 O2,256.24028,10.403,255.23296,Full match,No results,No results,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,95841335.18,278286656.2,512695808,125337284.9,105502868.8,155445067.5,151644114.6,195611318,319246672.2,70477474.01,,,,,,,
Com_27_neg,Elaidic acid,C18 H34 O2,282.25585,10.654,281.2485,Full match,No results,No results,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,65663004.08,188294489.2,399479098.1,74405380.52,65673538.49,90454152.33,116199439.2,172780975.5,258870520.4,36473057.8,,,,,,,
Com_28_neg,2-Isopropylmalic acid,C7 H12 O5,176.06842,1.807,175.06111,Full match,Partial match,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Hydroxy fatty acids,304432959.6,1242375.423,28925220.36,1108461.122,5348079.848,38072106.28,38580591.64,316613268.3,1042500.408,220558715,,,,,,,
