Compound_ID,Name,Formula,Molecular Weight,RT [min],m/z,mzCloud_Results,mzVault_Results,MassList_Results,Class_I,Class_II,Class_III,Class_IV,neg_XY_5,neg_XY_4,neg_XY_6,neg_XY_3,neg_XY_1,neg_XY_7,neg_XY_2,,,,,,,,,,
Com_62_pos,Prostaglandin E1,C20 H34 O5,354.23972,6.507,355.24625,No results,No results,Full match,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,Prostaglandins and related compounds,56991279.95,87629660.16,27855227.92,100751575,67946807.8,72611835.88,15725770.57,,,,,,,,,,
Com_63_pos,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,192.07874,5.78,193.08601,Full match,Partial match,No results,,,,,97132914.36,30957327.17,58512460.5,50160597.89,18480163.11,52807376.52,56309996.16,,,,,,,,,,
Com_64_pos,2-(4-aminophenoxy)isophthalonitrile,C14 H9 N3 O,252.09637,5.613,253.10335,Invalid mass,No results,No results,,,,,1812518.904,1665551.023,1146279.12,1589181.989,1519632.43,1721710.133,1672881.076,,,,,,,,,,
Com_65_pos,tert-Butyl N-[1-(aminocarbonyl)-3-methylbutyl]carbamate,C11 H22 N2 O3,230.16287,5.238,231.17027,No results,Full match,No results,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Leucine and derivatives,11071855.26,21379490.26,75322403.56,22125028.15,12786879.11,19618409.72,13711536.26,,,,,,,,,,
Com_66_pos,Creatine,C4 H9 N3 O2,131.06968,1.387,132.07698,No results,Full match,Full match,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids and derivatives,45069715.31,559883276.2,26406693.17,33001849.69,368620425.7,102152136.1,24822394.89,,,,,,,,,,
Com_67_pos,12-oxo Phytodienoic Acid,C18 H28 O3,292.20332,9.158,293.21048,Full match,Partial match,No results,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,Prostaglandins and related compounds,29311136.1,25762049.16,26150501.31,32746860.97,28168616.38,31240774.3,26967117.12,,,,,,,,,,
Com_68_pos,22(S)-Hydroxycholesterol,C27 H46 O2,402.34798,11.312,403.35526,No results,No results,Full match,,,,,1054962.502,856796.6993,686840.7869,1075520.736,1182053.532,832812.5355,1232559.037,,,,,,,,,,
Com_69_pos,"1,7-bis(3,4-dihydroxyphenyl)heptan-3-one",C19 H22 O5,312.13323,6.257,313.14053,Invalid mass,No results,No results,,,,,2866965.787,2474380.479,22369459.7,3040261.696,7121713.96,10929876.31,2773468.881,,,,,,,,,,
Com_70_pos,"3-hydroxy-3,4-bis[(4-hydroxy-3-methoxyphenyl)methyl]oxolan-2-one",C20 H22 O7,374.13682,5.793,375.14395,Full match,No results,No results,,,,,126829238.9,122889781.7,151092490.8,131193688.6,114320188.1,120015067.1,119489110.8,,,,,,,,,,
Com_71_pos,gamma-Nonanolactone,C9 H16 O2,156.11519,5.844,157.12245,No results,No results,Full match,Organoheterocyclic compounds,Lactones,Gamma butyrolactones,Gamma butyrolactones,190986209.8,142583370.5,111435757.6,171464202.7,138046521.9,160395769.9,173179261.2,,,,,,,,,,
Com_72_pos,LysoPC 12:1,C20 H36 N O7 P,433.22126,5.528,434.22879,No results,No results,Full match,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,Phosphocholines,53012696.17,61275812.36,41830846.73,62850482.49,51708497.85,108099430.8,69876264.45,,,,,,,,,,
Com_73_pos,3-Methoxycinnamic acid,C10 H10 O3,160.05283,5.42,161.06009,No results,Invalid mass,No results,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Coumaric acids and derivatives,8869227.047,12545472.53,11908962.03,13119439.65,10132309.73,9332523.807,14016032.03,,,,,,,,,,
Com_74_pos,Sedanolide,C12 H18 O2,176.12008,6.466,177.1272,No results,Invalid mass,No results,Organoheterocyclic compounds,Isobenzofurans,Not available,Isobenzofurans,19754509.22,18826304.05,15094224.47,20224119.55,20940124.74,21417305.92,17551719.66,,,,,,,,,,
Com_75_pos,octadec-9-ynoic acid,C18 H32 O2,302.22399,6.406,303.23102,Invalid mass,No match,No match,,,,,3547367.781,3129551.307,1822491.306,2308322.987,2259934.034,34242461.82,2482522.495,,,,,,,,,,
Com_76_pos,Prostaglandin A3,C20 H28 O4,314.18562,8.238,315.1929,Invalid mass,No results,No results,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,Prostaglandins and related compounds,100325233.9,65556074.74,75951910.41,117806082.5,76977906.96,139073371.4,64951935.29,,,,,,,,,,
Com_77_pos,dihydrotachysterol,C28 H46 O,398.35455,11.503,399.36179,No results,No results,Full match,Lipids and lipid-like molecules,Steroids and steroid derivatives,Vitamin D and derivatives,Vitamin D and derivatives,696314.0049,707489.8463,529355.6373,775407.2468,636900.7894,714335.7825,978868.3429,,,,,,,,,,
Com_78_pos,"Ergosta-5,7,9(11),22-Tetraen-3-beta-Ol",C28 H42 O,394.32326,10.162,395.33032,No results,No results,Full match,,,,,2430124.146,2465920.603,2679466.047,2525826.017,4398444.875,3016169.228,3188326.702,,,,,,,,,,
Com_79_pos,3-Methylindole,C9 H9 N,131.07366,6.366,132.08093,No results,No results,Full match,Organoheterocyclic compounds,Indoles and derivatives,Indoles,3-methylindoles,1227667.484,38181267.44,26777841.11,15382965.23,19666086.58,22927070.21,25917248.04,,,,,,,,,,
Com_80_pos,6-(3-hydroxybutan-2-yl)-5-(hydroxymethyl)-4-methoxy-2H-pyran-2-one,C11 H16 O5,250.08147,5.071,251.08865,Invalid mass,Invalid mass,No results,,,,,1674346484,1351933177,899413525.5,1630951366,1147343806,1406974622,1574932659,,,,,,,,,,
Com_81_pos,"5,8-dihydroxy-10-methyl-5,8,9,10-tetrahydro-2H-oxecin-2-one",C10 H14 O4,215.11545,5.163,216.12276,Invalid mass,No results,No results,,,,,86174354.03,86494263.71,106978058.9,36306830.52,46824967.3,82080201.76,92127624.52,,,,,,,,,,
Com_82_pos,6-Methylquinoline,C10 H9 N,143.0739,5.367,144.08118,No results,Full match,No results,Organoheterocyclic compounds,Quinolines and derivatives,Not available,Quinolines and derivatives,129201554.1,81656673.05,709487649.1,35132315.17,172993803.4,125143525.6,53353607.16,,,,,,,,,,
Com_83_pos,methyl 2-[(2-acetyl-3-oxo-1-butenyl)amino]acetate,C9 H13 N O4,199.08433,4.998,200.09164,Full match,No results,No results,,,,,60757884.98,47204961.46,25306066.6,56717898.57,28859845.64,44141794.09,53598313.42,,,,,,,,,,
Com_84_pos,4-oxo-5-phenylpentanoic acid,C11 H12 O3,174.06785,5.462,175.07475,Invalid mass,No results,No results,,,,,11163866.87,10728674.84,6935441.431,8522234.039,19716406.04,11216008.13,7577492.704,,,,,,,,,,
Com_85_pos,FMH,C20 H27 N5 O4 S,433.18172,4.731,434.18909,Invalid mass,No results,No results,,,,,14383544.94,6897365.723,14068792.51,20236257.41,5101811.269,13633702,9371641.829,,,,,,,,,,
Com_86_pos,¦Á-Aspartylphenylalanine,C13 H16 N2 O5,263.07871,5.311,264.08578,No results,Invalid mass,No results,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,2362449.018,3862647.898,5095208.331,3833800.504,2415350.767,4201828.86,3936284.765,,,,,,,,,,
Com_87_pos,"9-Oxo-10(E),12(E)-octadecadienoic acid",C18 H30 O3,294.21909,9.397,295.22638,No results,Full match,Full match,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,Lineolic acids and derivatives,29428185.95,37288449.08,78157183.18,26595072.48,29100321.9,26332760.16,22528936.89,,,,,,,,,,
Com_88_pos,Acetyl-N-formyl-5-methoxykynurenamine,C13 H16 N2 O4,282.12521,5.658,283.13358,No results,Invalid mass,No results,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Alkyl-phenylketones,2420326.755,2014686.824,1037074.709,2015945.108,1727235.948,2590881.404,1756044.717,,,,,,,,,,
Com_89_pos,4-(benzoylamino)-3-hydroxybutanoic acid,C11 H13 N O4,183.08937,5.36,184.09673,Invalid mass,Invalid mass,No match,,,,,3581772.012,5901095.621,4733381.23,4713587.51,5396917.95,4589097.374,6317801.69,,,,,,,,,,
Com_90_pos,Palmitoylethanolamide,C18 H37 N O2,299.28232,7.563,300.28952,No results,No results,Full match,Organic acids and derivatives,Carboximidic acids and derivatives,Carboximidic acids,Carboximidic acids,474747.5641,611143.8859,612650.4974,905801.3225,777665.8005,688987.263,998923.3673,,,,,,,,,,
Com_91_pos,2-Naphthol,C10 H8 O,144.05788,5.527,145.06496,No results,No results,Full match,Benzenoids,Naphthalenes,Naphthols and derivatives,Naphthols and derivatives,9846212.903,9293470.687,10845288.43,10345127.85,8630915.254,7243951.338,9167111.395,,,,,,,,,,
Com_92_pos,5-Hydroxyindole-3-acetic acid,C10 H9 N O3,191.05811,5.499,192.06557,No results,Full match,Full match,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,Indole-3-acetic acid derivatives,38970573.93,23421053.56,8570600.964,33548017.58,244341139.7,113084585.8,24167765.88,,,,,,,,,,
Com_93_pos,"2-phenyl-4H-furo[2,3-h]chromen-4-one",C17 H10 O3,262.06262,5.747,263.07004,Full match,No results,No results,,,,,18869590.58,15255149.57,25218601.87,21576133.36,22372573.83,17934559.16,24574495.62,,,,,,,,,,
