Gene,XY_Blood_007.886,XY_Blood_1.888,XY_Blood_3.885,XY_Blood_5.609,XY_Blood_7.604,XY_Blood_881,XY_Blood_999
CLDN17,0,0,0,0,0,0,0
GRIK1,0,0,0,0,0,0,0
LOC112448281,0,0,0,0,0,0,0
BACH1,134.4738251,121.0360996,51.90318632,93.46239042,92.38088941,41.22517039,65.19472198
LOC104970784,0.306447241,0,0.386690892,0.818152933,0.298937953,2.548878931,0.415659651
LOC112447173,0,0,0.206443041,0.109197025,0,0.732723633,0
MAP3K7CL,0,0,0,0,0,0,0
LOC100851369,0.219554192,0.441967273,0.277044774,0,0.142782774,0,0.794131858
CCT8,85.637701,107.4916693,100.3729118,72.73914552,90.71799898,75.99468218,147.1624681
USP16,59.1581114,30.40990269,25.60604987,25.77159007,28.35477848,20.39457254,39.1966627
RWDD2B,20.44462549,17.8773574,12.53696176,13.59788691,13.78560617,14.11333205,21.60077966
LTN1,49.84473546,19.76140669,10.58484434,15.58384021,12.07905712,9.332341573,22.53617434
LOC615183,0.133606476,0.04303243,0.101154915,0.089175652,0.069510687,0.051289551,0.144977181
N6AMT1,0.598683184,1.583927232,0.755449239,1.255857854,1.112405425,0.930246578,4.021548007
LOC112448287,0,0,0,0,0,0,0
LOC104970788,0,0,0,0,0,0,0
LOC112447279,0,0,0,0,0,0,0
LOC526789,0.879485867,0,0,0,0,0,0
LOC112448320,0,0,0,0,0,0,0
LOC104970790,0,0,0,0,0,0,0
ADAMTS5,0,0,0,0,0.070176215,0.12082145,0
ADAMTS1,0.381062359,0.441074829,0.240422043,0.222547587,0.650518186,0.731421035,0.689155047
CYYR1,0.197063653,0.043275637,0.067817742,0.167402009,0.093204722,0.011462094,0.032399233
LOC112448359,0,0,0,0,0,0,0
LOC107132174,0,0,0.043329277,0,0,0.263635933,0
APP,98.04363872,89.55220805,73.71091197,96.32254578,85.43002423,59.83097127,72.92545483
TRNAR-CCU,0,0,0,0,0,0,0
LOC112448277,0,0,0,0,0,0,0
GABPA,59.22467591,37.83847224,20.42754795,29.35935706,26.74470277,21.62520918,44.2453244
ATP5PF,40.35637537,64.78876165,82.28982862,55.87937359,74.87698048,71.20645861,67.99835798
JAM2,0.671748587,1.036720584,0.635735192,1.232986271,0.873717109,0.214895295,1.721057287
TRNAQ-UUG,0,0,0,0,0,0,0
MRPL39,33.49769671,45.30795931,42.62531731,36.48882392,42.40648397,44.12848958,48.92419479
MIR155,0,0,0,0,0,0,0
LOC112448274,0,0,0,0,0,0,0
LOC112448280,0,0,0,0,0,0,0
NCAM2,0.503740461,0.233013515,0.196103438,0.150226676,0.18122429,0.157720067,0.319826033
TRNAC-GCA_1,0,0,0,0,0,0,0
